t[s],x[m],y[m]
126.197325706,-0.0417643114924,-0.14045637846
126.451207399,-0.131442829967,-0.223498597741
126.696086168,-0.100571043789,-0.29421967268
127.061376333,-0.087993748486,-0.212768286467
127.200406313,-0.087993748486,-0.212768286467
127.45164299,-0.107967428863,-0.262745052576
127.703150749,-0.146100670099,-0.169120818377
128.048702955,-0.183869153261,-0.217744663358
128.202444077,-0.183869153261,-0.217744663358
128.445449352,-0.151303723454,-0.155804082751
128.7028687,-0.123492829502,-0.197397917509
129.091167212,-0.0204990394413,-0.201353251934
129.21347785,-0.0919548124075,-0.160045981407
129.45114994,-0.0609992966056,-0.132932573557
129.687968493,-0.0609992966056,-0.132932573557
130.040991545,-0.0334874689579,-0.109792597592
130.202844858,-0.0815742015839,-0.0915863364935
130.445616484,0.0114355068654,-0.0313804298639
130.715178013,0.0114355068654,-0.0313804298639
131.080254078,0.023557048291,-0.128361463547
131.189567566,0.0421086475253,-0.135245263577
131.451439857,0.0672736912966,-0.139651462436
131.695652723,0.0672736912966,-0.139651462436
132.071882248,0.0148830926046,-0.137963563204
132.201333523,0.0148830926046,-0.137963563204
132.441121578,0.040839638561,-0.124017067254
132.716410637,0.0887087658048,-0.123862572014
132.998993635,0.104661256075,-0.185650184751
133.196551561,0.104661256075,-0.185650184751
133.44832015,0.0947001576424,-0.184349760413
133.728785753,0.0936500877142,-0.163564160466
134.002340794,-0.0414523333311,-0.0865680798888
134.198442459,-0.0414523333311,-0.0865680798888
134.455172062,-0.0620022006333,-0.105494640768
134.741427422,-0.0137526653707,-0.115401349962
134.983620644,0.00945200771093,-0.135027348995
135.208479166,-0.0349237062037,-0.123001992702
135.451893568,-0.0240432098508,-0.0757242292166
135.692119122,-0.0240432098508,-0.0757242292166
136.012449503,-0.0903050452471,-0.0779305249453
136.19602108,-0.153650209308,-0.180758357048
136.497543097,-0.0559612140059,-0.590678691864
136.706703901,-0.0559612140059,-0.590678691864
137.006777287,-0.126432821155,-0.273333758116
137.202087641,-0.110421463847,-0.552982926369
137.481227636,-0.108180493116,-0.214111655951
137.700633287,-0.105084329844,-0.17160512507
138.005712748,-0.0810117647052,-0.0771962404251
138.214605093,-0.0810117647052,-0.0771962404251
138.476548433,-0.0966924056411,-0.0925480723381
138.687343836,-0.0582477636635,-0.0993932932615
